BV2022,Bassin de vie,salair_moy,tx_pauvrete
23025,Bonnat,12.44,19.5
23030,Bourganeuf,12.61,24.4
23031,Boussac,12.45,22.7
23075,Dun-le-Palestel,13.14,18.1
23076,Évaux-les-Bains,12.25,18
23096,Guéret,12.88,16.9
23176,La Souterraine,13.12,18.9
24037,Bergerac,13.44,16.9
24064,Brantôme en Périgord,13.14,14
24067,Le Bugue,12.96,19
24164,Excideuil,13.02,17.7
24167,Eymet,13.46,19.8
24223,Lalinde,14.09,16.7
24291,Montignac-Lascaux,13.06,21.1
24294,Montpon-Ménestérol,13.21,17
24299,Mussidan,12.94,17.3
24309,Neuvic,12.97,15
24311,Nontron,12.7,20.3
24322,Périgueux,13.67,13.8
24352,Ribérac,13.17,19.8
24372,Saint-Astier,13.1,13.7
24396,Saint-Cyprien,12.55,20.9
24520,Sarlat-la-Canéda,12.79,15.6
24547,Terrasson-Lavilledieu,13.21,17.6
24551,Thiviers,12.67,17.6
24571,Vergt,12.66,16.3
25047,Baume-les-Dames,13.72,11.7
25056,Besançon,14.85,16.3
25315,L'Isle-sur-le-Doubs,13.76,14.1
25356,Maîche,13.31,6.9
25388,Montbéliard,14.53,18.3
25411,Morteau,13.72,5.5
25434,Ornans,14.66,8.5
25462,Pontarlier,13.7,7.2
25463,Pont-de-Roide-Vermondans,14.83,7.7
25495,Roche-lez-Beaupré,14.47,8.3
25512,Le Russey,13.85,5.6
25527,Saint-Vit,14.43,7.9
25532,Saône,15.54,6.3
25578,Valdahon,13.82,8.3
26037,Beaumont-lès-Valence,16.43,7.1
26063,Buis-les-Baronnies,13.99,23
26064,Chabeuil,17.02,8.5
26108,Crest,13.96,14.5
26113,Die,12.83,21.8
26114,Dieulefit,13.86,19.4
26116,Donzère,14.83,12.5
26165,Livron-sur-Drôme,14.36,11.8
26176,Marsanne,14.73,11.2
26198,Montélimar,15.05,16
26220,Nyons,13.34,19.6
26235,Pierrelatte,14.79,20.6
26281,Romans-sur-Isère,15.01,13.7
26301,Saint-Donat-sur-l'Herbasse,15.02,10.2
26307,Saint-Jean-en-Royans,14,12.4
26324,Saint-Paul-Trois-Châteaux,17.87,11.9
