BV2022,Bassin de vie,salair_moy,tx_pauvrete
78361,Mantes-la-Jolie,15.67,21.2
78420,Montfort-l'Amaury,28.16,5.6
78455,Noisy-le-Roi,37.78,5
78486,Le Perray-en-Yvelines,21.57,5.2
78513,La Queue-les-Yvelines,23.01,5
78517,Rambouillet,21.3,7
78537,Saint-Arnoult-en-Yvelines,20.96,5
79005,Airvault,13.3,14.7
79048,La Crèche,16.04,5
79049,Bressuire,12.99,15.3
79061,Celles-sur-Belle,14.74,6.9
79062,Cerizay,12.81,12.2
79079,Mauléon,13.17,9.3
79083,Chef-Boutonne,12.57,19.4
79101,Coulonges-sur-l'Autize,13.88,12
79174,Melle,13.29,14.2
79179,Moncoutant-sur-Sèvre,12.72,14
79191,Niort,16.29,10.8
79195,Nueil-les-Aubiers,12.83,14
79202,Parthenay,13.01,14.1
79270,Saint-Maixent-l'École,13.29,13
79307,Sauzé-Vaussais,12.9,21.5
79311,Secondigny,12.5,15.4
79329,Thouars,12.85,14.5
80001,Abbeville,13.56,17.3
80010,Ailly-sur-Noye,15.13,9.3
80013,Airaines,13.21,16.5
80016,Albert,13.97,14.8
80021,Amiens,15.01,18.6
80211,Conty,14.8,9.7
80212,Corbie,14.91,9.9
80222,Crécy-en-Ponthieu,13.17,15.6
80253,Doullens,13.37,16.7
80318,Flixecourt,13.63,15
80368,Friville-Escarbotin,12.94,13.9
80373,Gamaches,13.07,15.7
80410,Ham,13.87,18
80561,Montdidier,13.73,16.1
80570,Moreuil,14.45,10.8
80606,Oisemont,13.12,16.9
80620,Péronne,13.68,16.4
80630,Poix-de-Picardie,13.79,11.9
80680,Rosières-en-Santerre,13.69,15.8
80685,Roye,13.98,16
80688,Rue,13.15,15.6
80721,Saint-Valery-sur-Somme,13.45,14.8
80799,Villers-Bretonneux,15.19,7.3
81003,Alban,12.81,20.4
81004,Albi,14.21,14.8
81060,Carmaux,12.52,18.6
81065,Castres,14.23,16.7
81099,Gaillac,14.52,16
81105,Graulhet,13.22,19.4
81120,Labruguière,13.25,13.2
81124,Lacaune,13.02,18.7
81140,Lavaur,16.02,11.1
81163,Mazamet,13.19,18.8
81219,Puylaurens,14.55,13.2
81220,Rabastens,15.94,12.1
81222,Réalmont,13.46,14.2
81271,Saint-Sulpice-la-Pointe,16.91,7.4
82013,Beaumont-de-Lomagne,13.57,16.5
82033,Castelsarrasin,13.1,17.7
82037,Caussade,13.27,17.8
82075,Grisolles,15.55,9.6
82087,Lafrançaise,13.33,15.7
82112,Moissac,13.29,22.8
82121,Montauban,14.26,16.2
82125,Montech,13.97,12.1
82134,Nègrepelisse,13.48,17
82155,Saint-Antonin-Noble-Val,12.94,26.4
82186,Valence,14.26,16.8
82190,Verdun-sur-Garonne,14.65,10.8
83007,Aups,13.02,22.1
83012,Barjols,13.8,20
83019,Bormes-les-Mimosas,14.18,14.1
83023,Brignoles,13.85,20.1
83032,Carcès,13.91,19.9
83036,Cavalaire-sur-Mer,14.51,14.5
83042,Cogolin,13.96,16.7
83050,Draguignan,14.07,18.2
83055,Fayence,15.52,15.6
83061,Fréjus,14.91,15.5
83064,Garéoult,15.46,10.6
83071,La Londe-les-Maures,14.42,12.4
83072,Lorgues,15.12,16.9
83073,Le Luc,14.03,16.9
83081,Montauroux,17.46,13.7
83091,Pierrefeu-du-Var,15.14,8.9
83104,Rians,15.47,12.6
83106,Rocbaron,14.68,9.1
83107,Roquebrune-sur-Argens,15.59,11
83115,Sainte-Maxime,14.59,16.3
83116,Saint-Maximin-la-Sainte-Baume,16.18,12.4
83119,Saint-Tropez,16.92,13.8
83121,Salernes,14.01,19.1
83137,Toulon,15.11,15.7
83148,Vidauban,13.97,17.2
84003,Apt,13.41,20.3
84007,Avignon,14.79,21.2
84019,Bollène,14.42,20.1
84031,Carpentras,14.52,19
84035,Cavaillon,14.36,19.7
84054,L'Isle-sur-la-Sorgue,15.59,14.7
84071,Maubec,16.72,13.9
84087,Orange,14.43,17.5
84089,Pertuis,15.97,13.4
84106,Sainte-Cécile-les-Vignes,15.18,13.1
84123,Sault,13.28,22
84133,La Tour-d'Aigues,16.24,13
84137,Vaison-la-Romaine,14.12,17.2
84138,Valréas,14.39,19.2
85003,Aizenay,13.54,7.5
85018,Beauvoir-sur-Mer,12.89,10.2
85019,Bellevigny,14.13,6.1
85020,Benet,14.33,8.1
85035,Bretignolles-sur-Mer,14.57,8
85047,Challans,13.51,9.1
85051,Chantonnay,13.13,10.5
85059,La Châtaigneraie,12.67,12.7
85084,Essarts en Bocage,13.44,6.8
85092,Fontenay-le-Comte,13.18,12.9
85109,Les Herbiers,13.59,7.1
85113,L'Île-d'Yeu,13.46,9.3
85128,Luçon,13.02,11
85146,Montaigu-Vendée,13.98,6.2
85151,Mortagne-sur-Sèvre,13.93,5.7
85152,Les Achards,13.39,7.3
85156,Moutiers-les-Mauxfaits,12.94,10.1
85163,Noirmoutier-en-l'Île,13.2,11.8
85178,Le Poiré-sur-Vie,14.34,5.4
85182,Pouzauges,13.11,8.4
85191,La Roche-sur-Yon,13.95,10.7
85194,Les Sables-d'Olonne,14.64,8.7
85215,Saint-Fulgent,13.16,6.3
85223,Sainte-Hermine,13.11,11.7
85226,Saint-Hilaire-de-Riez,13.77,8.5
85234,Saint-Jean-de-Monts,13.54,11.7
85288,Talmont-Saint-Hilaire,14.01,7.8
85294,La Tranche-sur-Mer,13.45,9.8
86066,Châtellerault,14.07,16.1
86070,Chauvigny,14.33,10.9
86078,Civray,12.6,18.9
86082,Valence-en-Poitou,13.15,15
86092,Dangé-Saint-Romain,13.21,11.5
86103,Gençay,13.32,14
86112,L'Isle-Jourdain,12.19,21.6
86128,Lencloître,12.83,13.2
86137,Loudun,12.65,16
86139,Lusignan,13.47,12.4
86140,Lussac-les-Châteaux,13.82,14.1
86165,Montmorillon,12.97,16.3
86177,Neuville-de-Poitou,13.92,9.6
86194,Poitiers,14.59,15.4
86293,Vivonne,13.66,9.1
86294,Vouillé,13.91,8.5
87001,Aixe-sur-Vienne,13.72,9.3
87002,Ambazac,13.65,12
87011,Bellac,12.54,22.3
87014,Bessines-sur-Gartempe,13.27,15.3
87032,Châlus,12.98,18.8
87064,Eymoutiers,12.89,19.5
87085,Limoges,14.47,16.6
87106,Nexon,13.71,10.9
87126,Rochechouart,13.49,17.9
87154,Saint-Junien,13.77,13.1
87161,Saint-Léonard-de-Noblat,13.54,13.7
87187,Saint-Yrieix-la-Perche,12.86,16.9
88075,La Bresse,13.05,12.9
88078,Bruyères,13.28,14.6
88090,Charmes,14.14,12.6
88114,Contrexéville,14.38,15.1
88160,Épinal,14.42,15.8
88181,Fraize,13.25,14.7
88196,Gérardmer,14.13,12.3
88304,Mirecourt,13.79,13.6
88321,Neufchâteau,13.61,15.5
88367,Rambervillers,13.41,17.9
88372,Raon-l'Étape,13.14,17.4
88383,Remiremont,13.98,12.6
88408,Rupt-sur-Moselle,12.87,15.9
88413,Saint-Dié-des-Vosges,13.76,17.8
88468,Le Thillot,12.78,15.9
88486,Vagney,13.6,11.2
88487,Le Val-d'Ajol,13.22,15.9
88516,Vittel,16.14,10
88530,Xertigny,13.09,19
89003,Montholon,14.16,10
89024,Auxerre,14.26,13.7
89025,Avallon,13.13,14.6
89068,Chablis,13.98,10.3
89086,Charny Orée de Puisaye,13.75,16.3
89206,Joigny,13.39,20.9
89257,Migennes,13.04,18.1
89309,Pont-sur-Yonne,14.77,10.8
89345,Saint-Florentin,13.06,15.1
89368,Saint-Sauveur-en-Puisaye,13.49,19.3
89387,Sens,14.48,16.6
89418,Tonnerre,13.27,17
89419,Toucy,13.87,14.5
89464,Villeneuve-sur-Yonne,14.3,12
90010,Belfort,16.28,18.6
90033,Delle,14.26,11.7
90052,Giromagny,14.97,13.6
91016,Angerville,15.03,9.4
91021,Arpajon,16.92,12.4
91045,Ballancourt-sur-Essonne,17.8,5.6
91105,Breuillet,19.06,6.8
91200,Dourdan,18.14,9.4
91223,Étampes,15.51,14.1
91226,Étréchy,18.7,5
91232,La Ferté-Alais,17.26,5.7
91338,Limours,22.67,5
91376,Marolles-en-Hurepoix,18.63,5
91405,Milly-la-Forêt,19.19,6
95250,Fosses,18.37,8.6
95313,L'Isle-Adam,21.29,7.4
95351,Louvres,16,12.9
95355,Magny-en-Vexin,17.24,7.9
95370,Marines,18.63,5.9
95487,Persan,15.64,12.6
95652,Viarmes,18.69,6.3
97101,Les Abymes,15.43,N/A - résultat non disponible
97105,Basse-Terre,13.72,N/A - résultat non disponible
97106,Bouillante,12.89,N/A - résultat non disponible
97107,Capesterre-Belle-Eau,13.6,N/A - résultat non disponible
97112,Grand-Bourg,12.39,N/A - résultat non disponible
97122,Port-Louis,13.19,N/A - résultat non disponible
97129,Sainte-Rose,14.03,N/A - résultat non disponible
97209,Fort-de-France,15.13,25.3
97213,Le Lamentin,15.14,21.7
97222,Le Robert,14.69,26.7
97225,Saint-Pierre,13.49,31.5
97228,Sainte-Marie,12.93,34
97302,Cayenne,14.93,N/A - résultat non disponible
97304,Kourou,18.08,N/A - résultat non disponible
97311,Saint-Laurent-du-Maroni,11.9,N/A - résultat non disponible
97404,L'Étang-Salé,14.51,27.3
97409,Saint-André,12.57,44.8
97410,Saint-Benoît,12.53,43.8
97411,Saint-Denis,14.62,33
97412,Saint-Joseph,12.31,41.4
97413,Saint-Leu,14.13,34.2
97414,Saint-Louis,12.12,43.3
97415,Saint-Paul,14.72,31.7
97416,Saint-Pierre,13,35.7
97608,Dzaoudzi,N/A - résultat non disponible,N/A - résultat non disponible
97611,Mamoudzou,N/A - résultat non disponible,N/A - résultat non disponible
